,click,banner_pos,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,site_id_enconde,site_domain_enconde,site_category_enconde,app_id_enconde,app_domain_enconde,app_category_enconde,device_id_enconde,device_ip_enconde,device_model_enconde
74,0,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,16208,543
75,0,0,1,0,1005,17654,300,250,1994,2,39,-1,33,204,220,4,451,18,0,1905,652,866
76,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,547,0,4,451,18,0,1905,14893,948
77,1,1,1,0,1005,20362,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,4421,1306
78,0,0,1,2,1005,18993,320,50,2161,0,35,-1,157,294,377,5,98,5,10,1824,14720,1100
79,0,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,1905,13256,934
80,0,0,1,0,1005,15703,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,9822,1110
81,0,0,0,0,1002,21691,320,50,2495,2,167,-1,23,294,377,5,307,18,0,283,13409,972
82,0,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,1905,470,810
83,0,0,1,0,1005,15702,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,3209,1683
84,0,0,1,0,1005,15699,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,10771,778
85,0,0,1,0,1005,15699,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,7021,825
86,1,0,1,0,1005,20633,320,50,2374,3,39,-1,23,294,377,5,290,5,13,1905,16228,227
87,1,0,0,0,1002,21682,320,50,2496,3,167,100191,23,291,377,5,451,18,0,2178,443,397
88,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,1270,1654
89,0,0,1,0,1005,15702,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,206,438
90,0,0,1,0,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,5347,1359
91,0,0,1,0,1005,15705,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,2766,1470
92,1,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,1905,17119,910
93,0,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,365,32,2,1905,3119,1063
94,0,1,1,0,1005,17037,320,50,1934,2,39,-1,16,493,240,12,451,18,0,1905,4496,1400
95,0,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,195,1110
96,1,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,770,227
97,1,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6066,686
98,0,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,169,199
99,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7401,541
100,0,1,1,0,1005,19772,320,50,2227,0,687,100075,48,292,157,12,451,18,0,1905,4576,655
101,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,7299,1151
102,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,10768,1634
103,1,1,1,0,1005,17212,320,50,1887,3,39,100200,23,476,294,12,451,18,0,1905,13266,802
104,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9051,1149
105,0,0,1,3,1005,20596,320,50,2161,0,35,-1,157,294,377,5,98,5,10,322,3673,1353
106,0,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11419,547
107,0,1,4,0,1010,21665,320,50,2493,3,35,100050,117,294,377,5,480,18,2,1807,11996,159
108,0,0,1,0,1005,18945,320,50,2153,3,427,100063,61,287,164,12,451,18,0,1905,16473,603
109,0,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,12568,778
110,0,0,1,2,1005,20596,320,50,2161,0,35,100034,157,294,377,5,21,10,13,1905,7212,1211
111,1,0,1,0,1005,19665,320,50,2253,2,303,-1,52,556,434,2,451,18,0,1905,9569,274
112,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5384,365
113,0,0,1,0,1005,19743,320,50,2264,3,427,100000,61,294,377,5,479,21,2,1905,5337,1050
114,1,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,16031,1149
115,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,294,377,5,35,5,13,1905,14467,1182
116,0,0,1,0,1005,15707,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,9843,1168
117,0,0,1,0,1005,16859,320,50,1887,3,39,-1,23,220,78,12,451,18,0,1905,2010,1508
118,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5060,1508
119,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,2949,1426
120,0,0,1,0,1005,15702,320,50,1722,0,35,100084,79,451,175,12,451,18,0,1905,425,810
121,0,1,1,0,1005,19771,320,50,2227,0,687,100081,48,401,349,12,451,18,0,1905,3327,1627
122,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,17402,943
123,0,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9694,159
124,1,0,0,0,1002,21300,320,50,2446,3,171,100228,156,291,377,5,451,18,0,2572,8493,1436
125,0,0,1,0,1005,16920,320,50,1899,0,431,100081,117,464,365,12,451,18,0,1905,8091,1659
126,0,0,1,2,1005,21611,320,50,2480,3,297,100111,61,294,377,5,98,5,10,2010,14137,561
127,0,0,0,0,1002,21665,320,50,2493,3,35,-1,117,255,377,5,451,18,0,52,3565,1439
128,0,1,1,0,1005,15702,320,50,1722,0,35,-1,79,150,75,2,451,18,0,1905,764,1325
129,0,0,1,0,1005,20596,320,50,2161,0,35,-1,157,48,356,12,451,18,0,1905,13581,547
130,0,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,13466,395
131,0,0,1,0,1005,17661,320,50,1996,1,41,100057,71,294,377,5,267,18,0,1905,9816,1701
132,1,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,5886,810
133,0,1,1,0,1005,20366,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,11433,810
134,0,1,1,0,1005,20596,320,50,2161,0,35,-1,157,213,37,12,451,18,0,1905,2386,1459
135,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,477,202,12,451,18,0,1905,12556,1743
136,1,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,11617,1508
137,0,0,1,0,1005,9438,320,50,898,3,427,100003,61,413,408,2,451,18,0,1905,6617,1191
138,0,0,1,0,1005,15707,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,8250,943
139,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,3,10,8,451,18,0,1905,1241,1217
140,0,1,1,0,1005,17264,320,50,1872,3,39,-1,23,493,240,12,451,18,0,1905,15997,3
141,0,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,290,943
142,0,0,0,0,1002,21300,320,50,2446,3,171,100228,156,291,377,5,451,18,0,1582,12397,1436
143,0,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,480,18,2,693,8849,1662
144,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,3,10,8,451,18,0,1905,7970,1654
145,0,1,1,2,1005,20596,320,50,2161,0,35,-1,157,324,306,4,451,18,0,1905,15924,989
146,1,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,11163,1508
147,0,1,1,0,1005,20359,216,36,2333,0,39,-1,157,493,240,12,451,18,0,1905,11452,910
148,0,0,1,0,1005,20596,320,50,2161,0,35,100130,157,1,179,12,451,18,0,1905,6974,1085
149,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,17218,395
150,0,1,1,0,1005,15708,320,50,1722,0,35,100084,79,150,75,2,451,18,0,1905,12056,143
151,0,0,1,0,1005,17875,320,50,2036,3,47,-1,156,294,377,5,204,5,2,1905,17058,1353
152,1,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,8975,778
153,0,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,14457,561
154,0,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,7246,948
155,0,0,1,0,1005,15706,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,9635,51
156,0,1,1,0,1005,18993,320,50,2161,0,35,-1,157,206,34,12,451,18,0,1905,15915,1488
157,0,0,1,0,1005,19016,300,250,2162,2,39,-1,33,204,220,4,451,18,0,1905,15235,1508
158,0,1,1,0,1005,18993,320,50,2161,0,35,-1,157,327,237,3,451,18,0,1905,8221,283
159,0,1,1,0,1005,20362,320,50,2333,0,39,100076,157,206,34,12,451,18,0,1905,15677,1271
160,0,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,2115,5514,241
161,0,0,1,0,1005,15702,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,14756,686
162,0,0,1,0,1005,20596,320,50,2161,0,35,-1,157,294,377,5,35,5,13,1905,526,436
163,1,1,1,0,1005,20352,320,50,2333,0,39,-1,157,493,240,12,451,18,0,1905,6052,1508
164,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,119,116,4,451,18,0,1905,17414,814
165,0,0,1,0,1005,4687,320,50,423,2,39,100148,32,294,377,5,430,14,2,1905,9910,25
166,1,0,0,0,1002,6616,320,50,576,2,35,100131,32,552,478,5,451,18,0,497,17139,1383
167,0,0,0,0,1002,20170,300,50,2312,0,167,-1,16,518,123,5,451,18,0,1719,15829,486
168,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9255,959
169,0,0,1,0,1005,15704,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,12592,959
170,1,1,1,0,1005,17614,320,50,1993,2,1063,100083,33,476,294,12,451,18,0,1905,1269,910
171,0,1,1,0,1005,21612,320,50,2481,3,297,100111,61,503,13,3,451,18,0,1905,4394,461
172,1,1,1,0,1005,17753,320,50,1993,2,1063,100084,33,476,294,12,451,18,0,1905,3257,561
173,1,0,0,0,1002,21660,320,50,2446,3,171,100228,156,291,377,5,451,18,0,2488,7958,1436
174,1,0,1,0,1005,15701,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,14759,116
175,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,12064,1508
176,0,0,1,0,1005,6563,320,50,572,2,39,-1,32,294,377,5,163,5,2,590,9579,1607
177,0,0,1,0,1005,15706,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15676,54
178,0,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,558,586
179,0,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,268,18,2,1874,3275,221
180,0,0,1,0,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,3759,543
181,0,0,1,0,1005,15702,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,9819,1670
182,0,0,1,0,1005,6616,320,50,576,2,35,100131,32,62,465,2,451,18,0,1905,12745,547
183,0,1,1,0,1005,19950,320,50,1800,3,167,100079,23,150,75,2,451,18,0,1905,11254,1508
184,0,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,4567,943
185,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,16886,1508
186,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,14742,369
187,0,0,1,2,1005,20596,320,50,2161,0,35,-1,157,294,377,5,17,0,2,1905,6955,597
188,1,1,1,0,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,17391,1149
189,0,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,4773,814
190,0,0,1,0,1005,15706,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,14390,778
191,1,0,1,0,1005,19016,300,250,2162,2,39,-1,33,204,220,4,451,18,0,1905,17366,448
192,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,48,356,12,451,18,0,1905,4596,1042
193,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,1,179,12,451,18,0,1905,14409,227
194,0,0,1,0,1005,15704,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,4932,943
195,0,1,1,0,1005,18993,320,50,2161,0,35,-1,157,561,385,12,451,18,0,1905,11859,930
196,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5994,1508
197,0,0,1,2,1005,15706,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,1977,1764
198,0,1,1,2,1005,20596,320,50,2161,0,35,-1,157,249,131,4,451,18,0,1905,16660,989
199,1,1,1,2,1005,20596,320,50,2161,0,35,-1,157,68,197,4,451,18,0,1905,3944,989
200,0,0,1,0,1005,20596,320,50,2161,0,35,-1,157,294,377,5,35,5,13,1905,11751,329
201,1,1,1,2,1005,17614,320,50,1993,2,1063,-1,33,476,294,12,451,18,0,1905,8954,446
202,0,0,0,0,1002,20170,300,50,2312,0,167,100075,16,531,475,5,451,18,0,2108,6997,486
203,0,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,6188,943
204,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,6131,814
205,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,16487,316
206,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,5922,1508
207,0,0,1,2,1005,21611,320,50,2480,3,297,100111,61,294,377,5,98,5,10,1931,12042,1246
208,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,12910,747
209,1,0,1,0,1005,17239,320,50,1973,3,39,100188,23,473,299,4,451,18,0,1905,6964,1488
210,0,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,12168,874
211,0,0,1,2,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,388,834
212,0,1,4,0,1010,21665,320,50,2493,3,35,-1,117,294,377,5,268,18,2,1999,10615,1097
213,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7059,943
214,0,0,1,2,1005,18993,320,50,2161,0,35,100148,157,294,377,5,98,5,10,485,10863,292
215,0,0,1,0,1005,17654,300,250,1994,2,39,100083,33,236,220,4,451,18,0,1905,4328,910
216,0,1,1,0,1005,20596,320,50,2161,0,35,100130,157,14,171,12,451,18,0,1905,8118,1305
217,0,0,1,0,1005,15708,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,13225,37
218,0,0,1,0,1005,15705,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,2757,1634
219,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,4928,1426
220,1,0,0,0,1002,17081,320,50,1921,3,47,-1,23,257,142,5,451,18,0,248,4770,1176
221,0,0,1,0,1005,20362,320,50,2333,0,39,100188,157,77,436,4,451,18,0,1905,1209,1488
222,1,0,1,0,1005,20346,300,250,2331,2,39,-1,23,115,128,12,451,18,0,1905,15404,1305
223,0,0,1,0,1005,15701,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,4131,227
224,0,0,1,0,1005,15707,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,8636,561
225,0,1,5,0,1010,21665,320,50,2493,3,35,100233,117,294,377,5,374,18,2,2344,1723,1685
226,0,0,1,2,1005,15708,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7247,961
227,1,0,1,0,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,290,586
228,0,0,1,0,1005,15707,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,957,1110
229,1,0,1,0,1005,6558,320,50,571,2,39,-1,32,294,377,5,163,5,2,2259,3661,1305
230,0,1,1,0,1005,19771,320,50,2227,0,687,100081,48,292,157,12,451,18,0,1905,9502,1533
231,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,11117,1253
232,0,0,1,0,1005,18993,320,50,2161,0,35,100128,157,294,377,5,21,10,13,1905,4541,57
233,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,258,372,12,451,18,0,1905,14841,943
234,0,0,1,0,1005,15699,320,50,1722,0,35,100083,79,62,465,2,451,18,0,1905,13031,224
235,0,1,4,3,1010,21310,320,50,2449,0,163,100106,91,294,377,5,5,18,2,576,3171,717
236,0,1,1,0,1005,20366,320,50,2333,0,39,100079,157,206,34,12,451,18,0,1905,2131,943
237,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,10709,943
238,0,0,1,0,1005,20362,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,6184,227
239,0,0,1,0,1005,16208,320,50,1800,3,167,-1,23,223,287,12,451,18,0,1905,9773,943
240,0,0,1,3,1005,15706,320,50,1722,0,35,100084,79,294,377,5,98,5,10,306,10810,561
241,0,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,163,5,2,1444,5076,92
242,0,0,1,0,1005,15707,320,50,1722,0,35,100084,79,62,465,2,451,18,0,1905,12425,943
243,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,7683,943
244,0,0,1,0,1005,20596,320,50,2161,0,35,-1,157,9,53,12,451,18,0,1905,9519,227
245,0,0,1,0,1005,20382,320,50,1740,3,943,100060,100,294,377,5,390,5,7,1227,8845,833
246,0,0,1,0,1005,19771,320,50,2227,0,687,100075,48,303,393,4,451,18,0,1905,12183,919
247,0,0,1,0,1005,15699,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15126,1634
248,0,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,479,21,2,1905,17041,1247
249,1,0,1,2,1005,15703,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,2540,1414
250,0,0,1,0,1005,20366,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,7526,1694
251,0,0,1,0,1005,15704,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,5594,227
252,0,0,1,0,1005,20362,320,50,2333,0,39,100128,157,188,376,12,451,18,0,1905,12907,1424
253,0,1,1,0,1005,19771,320,50,2227,0,687,-1,48,213,37,12,451,18,0,1905,847,930
254,0,1,1,0,1005,20596,320,50,2161,0,35,-1,157,327,237,3,451,18,0,1905,6020,1641
255,1,0,1,0,1005,17654,300,250,1994,2,39,100084,33,204,220,4,451,18,0,1905,11900,866
256,0,0,1,0,1005,15701,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,9792,227
257,0,0,1,0,1005,18993,320,50,2161,0,35,-1,157,540,174,12,451,18,0,1905,5220,943
258,0,0,1,0,1005,20352,320,50,2333,0,39,-1,157,191,382,4,451,18,0,1905,10668,1077
259,0,0,1,0,1005,21611,320,50,2480,3,297,100111,61,294,377,5,479,21,2,1905,5071,1189
260,1,1,1,0,1005,20596,320,50,2161,0,35,-1,157,565,272,0,451,18,0,1905,12918,930
261,0,1,1,0,1005,20362,320,50,2333,0,39,100077,157,206,34,12,451,18,0,1905,4147,943
262,0,0,1,0,1005,15705,320,50,1722,0,35,-1,79,62,465,2,451,18,0,1905,15811,116
